UNIQUE_CARRIER:14070:<string>,ORIGIN:14070:<string>,origin_passengers:14070:<double>
3FQ,STT,2
3FQ,SUN,10
3FQ,SUS,0
3FQ,SVH,7
3FQ,SWF,7
3FQ,SXM,33
3FQ,SYR,1
3FQ,SZT,0
3FQ,T4X,0
3FQ,T8X,12
3FQ,TEB,335
3FQ,TEX,5
3FQ,TIX,11
3FQ,TKF,17
3FQ,TMB,17
3FQ,TN8,0
3FQ,TPA,23
3FQ,TRM,4
3FQ,TTN,12
3FQ,TUS,2
3FQ,TWF,2
3FQ,UST,7
3FQ,UVF,6
3FQ,VNY,205
3FQ,YHU,12
3FQ,YIP,9
3FQ,YKM,8
3FQ,YQA,0
3FQ,YVR,0
3FQ,YWG,8
3FQ,YYB,6
3FQ,YYZ,12
3FQ,ZRH,3
3KQ,NUI,183
3KQ,SCC,290
3M,ANU,1119
3M,AXA,1333
3M,BIM,5012
3M,DOM,9373
3M,EIS,22493
3M,ELH,16822
3M,EYW,59365
3M,FLL,161236
3M,FPO,4052
3M,GGT,9025
3M,GHB,481
3M,GNV,6343
3M,GSP,1183
3M,HSV,3239
3M,INT,33
3M,LRM,305
3M,MCO,59869
3M,MHH,20284
3M,NAS,8208
3M,PBI,12292
3M,PLS,453
3M,PNS,38142
3M,POP,523
3M,SAV,801
3M,SJU,98548
3M,SKB,4154
3M,STI,9460
3M,STT,18401
3M,STX,30212
3M,SXM,4243
3M,TLH,29773
3M,TPA,125768
3S,ANC,0
3S,ATL,0
3S,BHM,0
3S,BRU,0
3S,BSL,0
3S,CAN,0
3S,CVG,0
3S,DFW,0
3S,EMA,0
3S,FRA,0
3S,HKG,0
3S,IAH,0
3S,IND,0
3S,JFK,0
3S,KIX,0
3S,LAX,0
3S,LEJ,0
3S,MIA,0
3S,NRT,0
3S,ORD,0
3S,SEA,0
3S,SIN,0
3S,SNN,0
3S,SZX,0
3S,YMX,0
3S,YYZ,0
3U,LAX,40094
3U,TFU,41947
4B,BOS,5256
4B,MSS,5406
4B,PDT,6577
4B,PDX,6400
4C,BOG,163895
4C,MCO,54368
4C,MDE,28022
4C,MIA,129857
4W,05A,1
4W,A01,75
4W,A26,5
4W,A27,55
4W,ABL,4
4W,AET,37
4W,AKP,14
4W,ANV,0
4W,ARC,7
4W,BTT,150
4W,CEM,169
4W,CIK,34
4W,CXF,5917
4W,EAA,7
4W,ENN,21
4W,FAI,8767
4W,FYU,470
4W,GAL,16
4W,HCR,0
4W,HKB,1536
4W,HSL,21
4W,HUS,19
4W,IRC,245
4W,KAL,7
4W,KBC,17
4W,KGX,5
4W,KYU,10
4W,MCG,10
4W,MHM,3
4W,MLY,538
4W,MNT,567
4W,NUI,2
4W,NUL,19
4W,OBU,4
4W,ORT,5
4W,RBY,49
4W,RMP,682
4W,SCC,174
4W,SHG,4
4W,SHX,4
4W,SVS,507
4W,TAL,15
4W,TCT,0
4W,VEE,9
4W,WBQ,875
4W,WCR,6
4W,WSM,0
4Y,ANC,4766
4Y,BOS,482
4Y,FRA,294668
4Y,KEF,112
4Y,LAS,34890
4Y,MCO,105116
4Y,MIA,219
4Y,MSP,278
4Y,ONT,80
4Y,ORD,275
4Y,PHL,46158
4Y,RSW,26367
4Y,SWF,1114
4Y,TPA,74192
4Y,YHZ,162
5D,ATL,87252
5D,AUS,20376
5D,BJX,21728
5D,DFW,24710
5D,DTW,40355
5D,GDL,23523
5D,IAH,49983
5D,LAX,540
5D,MCO,555
5D,MEX,144584
5D,MFE,19790
5D,MIA,420
5D,MID,6098
5D,MTY,50728
5D,NLU,52186
5D,ORD,130
5D,QRO,29188
5D,RDU,14578
5D,SAT,50992
5D,SLC,1657
5D,TPA,9429
5D,ZLO,249
5V,A26,4
5V,A63,18
5V,A6K,0
5V,ABL,0
5V,ADQ,0
5V,AET,268
5V,AIN,2
5V,AKN,0
5V,AKP,729
5V,ANB,0
5V,ANC,3
5V,ANI,0
5V,ANV,5
5V,ARC,785
5V,ATK,8
5V,BET,0
5V,BMI,0
5V,BRW,18
5V,BTI,857
5V,BTT,13
5V,CAE,0
5V,CDB,0
5V,CDL,3
5V,CHS,0
5V,CIK,43
5V,CNO,0
5V,CRW,0
5V,CUU,0
5V,DAY,0
5V,DCU,0
5V,DLG,0
5V,DRG,7
5V,DRT,0
5V,DTO,0
5V,EAA,624
5V,EGX,0
5V,ELP,0
5V,ENA,6
5V,ENN,0
5V,FAI,10544
5V,FBK,7
5V,FLL,0
5V,FWA,0
5V,FYU,2028
5V,GAL,4353
5V,GBH,22
5V,GDC,0
5V,GDL,0
5V,GEK,0
5V,GSP,0
5V,GYR,0
5V,HCR,20
5V,HSL,610
5V,HUS,44
5V,IAN,0
5V,ILI,0
5V,IND,0
5V,IRC,0
5V,JZE,0
5V,JZM,0
5V,KAL,20
5V,KBC,15
5V,KGX,8
5V,KOT,0
5V,KSM,25
5V,KTN,0
5V,KYU,39
5V,LAF,0
5V,LCK,0
5V,LGB,0
5V,LNS,0
5V,LRD,0
5V,LUR,0
5V,MCC,0
5V,MCG,24
5V,MFE,0
5V,MGM,0
5V,MHM,11
5V,MLL,6
5V,MLY,9
5V,MNT,7
5V,MOU,16
5V,MQY,0
5V,MTY,0
5V,MVN,0
5V,NIB,16
5V,NLU,0
5V,NME,0
5V,NUI,0
5V,NUL,507
5V,OAK,0
5V,OME,0
5V,ONT,0
5V,OPF,0
5V,ORV,0
5V,OTZ,14
5V,PAE,0
5V,PAQ,0
5V,PBC,0
5V,PHO,27
5V,PIZ,0
5V,PQS,4
5V,PSK,0
5V,PTA,0
5V,PTH,0
5V,QRO,0
5V,RBY,677
5V,RDV,0
5V,RFD,0
5V,RMP,13
5V,RSH,7
5V,SAP,0
5V,SAT,0
5V,SCC,0
5V,SDF,0
5V,SDM,0
5V,SHH,5
5V,SHV,0
5V,SHX,16
5V,SIT,0
5V,SLP,0
5V,SLW,0
5V,SMK,0
5V,SVS,0
5V,SVW,0
5V,TAL,13
5V,TCL,0
5V,TCT,11
5V,TEK,13
5V,TLC,0
5V,TLJ,0
5V,TNC,0
5V,TOL,0
5V,TRC,0
5V,TSG,23
5V,UMT,0
5V,UNK,11
5V,UTO,20
5V,VDZ,13
5V,VEE,721
5V,VIK,37
5V,WBQ,23
5V,WCR,0
5V,WLK,21
5V,WTK,6
5V,YIP,0
5V,YQG,0
5X,ABQ,0
5X,ABY,0
5X,ALB,0
5X,ANC,0
5X,ATL,0
5X,AUS,0
5X,BDL,0
5X,BFI,0
5X,BGR,0
5X,BHM,0
5X,BIL,0
5X,BIS,0
5X,BNA,0
5X,BOG,0
5X,BOI,0
5X,BOS,0
5X,BUF,0
5X,BUR,0
5X,BWI,0
5X,CAE,0
5X,CDG,0
5X,CGN,0
5X,CID,0
5X,CLE,0
5X,CLT,0
5X,CVG,0
5X,DEN,0
5X,DFW,0
5X,DSM,0
5X,DTW,0
5X,ELP,0
5X,EMA,0
5X,EVV,0
5X,EWR,0
5X,FAI,0
5X,FAR,0
5X,FAT,0
5X,FLL,0
5X,FSD,0
5X,FWA,0
5X,GDL,0
5X,GEG,0
5X,GSO,0
5X,GSP,0
5X,GUA,0
5X,GUM,0
5X,GYY,0
5X,HKG,0
5X,HNL,0
5X,HSV,0
5X,IAD,0
5X,IAH,0
5X,ICN,0
5X,ICT,0
5X,IND,0
5X,JAN,0
5X,JAX,0
5X,JFK,0
5X,KIX,0
5X,KOA,0
5X,LAN,0
5X,LAS,0
5X,LAX,0
5X,LBB,0
5X,LCK,0
5X,LFT,0
5X,LGB,0
5X,LIH,0
5X,LIT,0
5X,LRD,0
5X,MCI,0
5X,MCO,0
5X,MDT,0
5X,MEM,0
5X,MFE,0
5X,MGA,0
5X,MHR,0
5X,MHT,0
5X,MIA,0
5X,MKE,0
5X,MSP,0
5X,MSY,0
5X,MTY,0
5X,NLU,0
5X,NRT,0
5X,OAK,0
5X,OGG,0
5X,OKC,0
5X,OMA,0
5X,ONT,0
5X,ORD,0
5X,ORF,0
5X,PBI,0
5X,PDX,0
5X,PHL,0
5X,PHX,0
5X,PIA,0
5X,PIT,0
5X,PNS,0
5X,PTY,0
5X,PVD,0
5X,PVG,0
5X,QRO,0
5X,RDU,0
5X,RFD,0
5X,RIC,0
5X,RNO,0
5X,ROA,0
5X,RSW,0
5X,SAN,0
5X,SAT,0
5X,SAV,0
5X,SBD,0
5X,SBN,0
5X,SDF,0
5X,SDQ,0
5X,SGF,0
5X,SHV,0
5X,SJC,0
5X,SJO,0
5X,SJU,0
5X,SLC,0
5X,SNA,0
5X,SPN,0
5X,STL,0
5X,STN,0
5X,SWF,0
5X,SYD,0
5X,SYR,0
5X,SZX,0
5X,TPA,0
5X,TPE,0
5X,TUL,0
5X,TYS,0
5X,UIO,0
5X,VCP,0
5X,YHM,0
5X,YMX,0
5X,YVR,0
5X,YWG,0
5X,YYC,0
5X,YYZ,0
5Y,ABE,0
5Y,AFW,0
5Y,AMA,0
5Y,AMS,0
5Y,ANC,0
5Y,ARA,0
5Y,ATL,0
5Y,ATW,0
5Y,AUS,0
5Y,AVV,0
5Y,BED,0
5Y,BHM,0
5Y,BIF,0
5Y,BKK,0
5Y,BNA,0
5Y,BOG,0
5Y,BOI,0
5Y,BOS,2
5Y,BUF,0
5Y,BWI,364
5Y,CAE,141
5Y,CDG,85
5Y,CGO,0
5Y,CHS,0
5Y,CKG,0
5Y,CLE,184
5Y,CMH,134
5Y,CSX,0
5Y,CTS,0
5Y,CTU,0
5Y,CVG,190
5Y,DEN,752
5Y,DFW,0
5Y,DOV,0
5Y,DSM,375
5Y,DTW,1312
5Y,EHU,0
5Y,EIN,0
5Y,EWR,674
5Y,EZE,0
5Y,FAI,0
5Y,FLL,521
5Y,FRA,0
5Y,GDL,0
5Y,GIG,0
5Y,GPT,0
5Y,GRB,175
5Y,GSO,0
5Y,GUM,0
5Y,HAN,0
5Y,HGH,0
5Y,HHN,0
5Y,HIF,0
5Y,HKG,0
5Y,HNL,0
5Y,HSV,0
5Y,IAB,0
5Y,IAG,0
5Y,IAH,1024
5Y,ICN,334
5Y,ILN,0
5Y,IND,177
5Y,JAX,179
5Y,JED,143
5Y,JFK,4
5Y,KOA,0
5Y,LAL,0
5Y,LAS,183
5Y,LAX,179
5Y,LCK,0
5Y,LGG,0
5Y,LIM,0
5Y,LSV,0
5Y,MAN,132
5Y,MAO,0
5Y,MCI,366
5Y,MCO,0
5Y,MDE,0
5Y,MDT,0
5Y,MEM,345
5Y,MEX,0
5Y,MHT,0
5Y,MIA,0
5Y,MIB,0
5Y,MLB,0
5Y,MSP,0
5Y,MSY,0
5Y,MXP,0
5Y,MZJ,0
5Y,NGO,0
5Y,NGU,0
5Y,NKG,0
5Y,NLU,0
5Y,NRT,0
5Y,NZY,0
5Y,OGG,0
5Y,ONT,148
5Y,OPF,0
5Y,ORD,0
5Y,PAE,0
5Y,PDX,0
5Y,PER,0
5Y,PHL,0
5Y,PHX,497
5Y,PIT,0
5Y,PSM,0
5Y,PVD,164
5Y,PVG,0
5Y,RDU,0
5Y,RFD,0
5Y,RIC,0
5Y,RIV,0
5Y,RSW,0
5Y,SAN,5
5Y,SAT,0
5Y,SAV,0
5Y,SCK,0
5Y,SCL,0
5Y,SDF,0
5Y,SDQ,0
5Y,SEA,507
5Y,SFO,0
5Y,SHV,0
5Y,SIN,0
5Y,SJC,0
5Y,SJO,0
5Y,SJU,0
5Y,SMF,0
5Y,STL,0
5Y,STN,143
5Y,STR,0
5Y,SUU,0
5Y,SYD,0
5Y,SZX,0
5Y,TAO,0
5Y,TAR,0
5Y,TCM,0
5Y,TNA,0
5Y,TOL,0
5Y,TPA,524
5Y,TPE,0
5Y,TUS,0
5Y,UIO,0
5Y,VCP,0
5Y,WRI,0
5Y,XMN,0
5Y,YHZ,0
5Y,YMX,0
5Y,YQM,0
5Y,YYC,0
5Y,YYZ,0
5Y,ZAZ,0
6F,6AK,261
6F,AKI,1047
6F,ANC,53
6F,ANI,626
6F,ANV,64
6F,ATT,291
6F,AUK,972
6F,BET,8706
6F,CHU,164
6F,CKD,142
6F,CYF,579
6F,CZF,2
6F,DLG,76
6F,EEK,391
6F,EHM,6
6F,ELI,0
6F,EMK,957
6F,GAL,9
6F,GNU,73
6F,HCR,89
6F,HPB,447
6F,KGX,75
6F,KKA,23
6F,KKH,428
6F,KKI,1203
6F,KLG,523
6F,KMO,8
6F,KNW,9
6F,KOT,832
6F,KPN,570
6F,KSM,886
6F,KUK,379
6F,KWK,443
6F,KWN,504
6F,KWT,866
6F,LVD,6
6F,MCG,4
6F,MLL,336
6F,MOU,854
6F,MYU,239
6F,NIB,2
6F,NME,373
6F,NUP,525
6F,OOK,553
6F,PKA,390
6F,PQS,572
6F,PTU,77
6F,RDV,0
6F,RSH,430
6F,SCM,595
6F,SHX,29
6F,SKK,0
6F,SLQ,67
6F,SMK,20
6F,SRV,52
6F,SXP,423
6F,TLT,743
6F,TNK,95
6F,TOG,9
6F,TWA,11
6F,UNK,88
6F,VAK,458
6F,WBB,15
6F,WNA,309
6F,WTL,728
6F,WWT,648
7C,GUM,111796
7C,ICN,221672
7C,PUS,8092
7C,SPN,120356
7H,ABE,92
7H,AKN,489
7H,ANC,32305
7H,ANI,137
7H,ATL,110
7H,AVL,44
7H,AVP,82
7H,BDL,54
7H,BED,1719
7H,BET,3144
7H,BFI,473
7H,BGI,120
7H,BKL,62
7H,BMG,96
7H,BNA,2452
7H,BOS,250
7H,BTR,180
7H,BUF,95
7H,BWI,61
7H,CDB,2613
7H,CID,52
7H,CLT,91
7H,CMH,1092
7H,CPS,1037
7H,CSG,88
7H,DAL,1002
7H,DCA,74
7H,DEN,409
7H,DLG,185
7H,DTW,469
7H,DUT,3663
7H,EAU,84
7H,ELP,0
7H,ERI,42
7H,EWR,1024
7H,FAI,2253
7H,FLG,42
7H,FLL,413
7H,FNT,43
7H,FRG,705
7H,GBH,508
7H,GRB,170
7H,GSO,109
7H,HAV,910
7H,HOG,958
7H,HOM,15603
7H,HOU,322
7H,HPN,164
7H,IAD,549
7H,ILM,86
7H,INT,74
7H,ISP,27
7H,KSM,817
7H,LAF,126
7H,LAS,280
7H,LAX,495
7H,LGA,170
7H,LGB,48
7H,LSE,35
7H,MBS,84
7H,MCO,485
7H,MDT,78
7H,MDW,213
7H,MFE,0
7H,MIA,3756
7H,MKC,64
7H,MKE,333
7H,MSN,100
7H,MSP,1062
7H,MSY,145
7H,OAK,67
7H,OMA,90
7H,ONT,3827
7H,ORD,92
7H,PGV,86
7H,PHL,409
7H,PHX,254
7H,PIE,0
7H,PIT,321
7H,PLN,130
7H,PPC,652
7H,PUJ,1515
7H,RDG,72
7H,RDU,1122
7H,RNO,1637
7H,SAN,86
7H,SAV,88
7H,SBA,86
7H,SCC,1280
7H,SDF,84
7H,SDP,2385
7H,SEA,88
7H,SJC,153
7H,SLC,159
7H,SNP,1430
7H,SNU,401
7H,STL,53
7H,TLH,42
7H,TPA,890
7H,TTN,43
7H,TUS,118
7H,TVC,41
7H,TYS,110
7H,UNK,3147
7H,VDZ,2289
7H,YEG,112
7H,YIP,86
7H,YOW,297
7H,YQB,132
7H,YUL,92
7H,YVR,191
7H,YWG,102
7H,YXY,20
7H,YYC,138
7H,YYZ,328
7S,1AK,0
7S,ABL,0
7S,ADQ,0
7S,AIN,8
7S,AKI,25
7S,AKK,6
7S,AKN,0
7S,AKP,6
7S,ANC,1950
7S,ANI,3628
7S,ANV,112
7S,ARC,2
7S,ATT,12
7S,AUK,4
7S,BET,1147
7S,BKC,0
7S,BLI,0
7S,BRW,3
7S,BTT,2
7S,BVU,0
7S,CDL,0
7S,CHU,161
7S,CKD,130
7S,CYF,4
7S,CYT,0
7S,DLG,6
7S,DRF,0
7S,DRG,0
7S,EEK,6
7S,EHM,0
7S,ELI,0
7S,EMK,7
7S,ENA,11
7S,FAI,6
7S,FWL,0
7S,GAL,0
7S,GAM,0
7S,GLV,0
7S,GNU,3
7S,HCR,293
7S,HOM,0
7S,HPB,11
7S,HSL,3
7S,IAN,0
7S,ILI,0
7S,JNU,0
7S,JZE,0
7S,KAL,8
7S,KCQ,0
7S,KEK,0
7S,KFP,4
7S,KGK,0
7S,KGX,220
7S,KKA,4
7S,KKH,2
7S,KKI,21
7S,KLG,812
7S,KLL,0
7S,KLN,11
7S,KMO,0
7S,KNK,0
7S,KOT,36
7S,KPN,4
7S,KSM,5
7S,KTN,0
7S,KTS,0
7S,KUK,3
7S,KVL,0
7S,KWK,3
7S,KWN,4
7S,KWT,34
7S,LVD,6
7S,MCG,65
7S,MHM,3
7S,MHR,0
7S,MLL,33
7S,MOU,14
7S,MYU,69
7S,NIB,5
7S,NLG,4
7S,NME,4
7S,NUI,0
7S,NUL,2
7S,NUP,3
7S,OBU,0
7S,OME,0
7S,OOK,83
7S,ORV,0
7S,OTZ,24
7S,PAQ,3
7S,PHO,18
7S,PIP,4
7S,PIZ,0
7S,PKA,5
7S,PQS,11
7S,PTH,4
7S,PTU,10
7S,RBY,3
7S,RDB,0
7S,RDV,45
7S,RNO,0
7S,RSH,158
7S,SCC,0
7S,SCM,4
7S,SHG,0
7S,SHH,0
7S,SHX,117
7S,SKK,6
7S,SLQ,68
7S,SMK,19
7S,SRV,27
7S,SVA,0
7S,SVW,0
7S,SXP,9
7S,TAL,3
7S,TLA,0
7S,TLT,28
7S,TNC,0
7S,TNK,24
7S,TYE,0
7S,UNK,81
7S,VAK,33
7S,WAA,0
7S,WBB,19
7S,WLK,0
7S,WMO,0
7S,WNA,5
7S,WTK,0
7S,WTL,5
7S,WWT,0
7S,ZNC,0
8C,ABE,0
8C,ABQ,0
8C,AFW,0
8C,ANC,0
8C,ATL,0
8C,AUS,0
8C,BDL,0
8C,BFI,0
8C,BNA,0
8C,BOG,0
8C,BOI,0
8C,BUF,0
8C,BWI,0
8C,CLT,0
8C,CVG,0
8C,DEN,0
8C,GEG,0
8C,HNL,0
8C,IAH,0
8C,ILN,0
8C,JFK,0
8C,KOA,0
8C,LAL,0
8C,LAS,0
8C,LAX,9
8C,LIH,0
8C,MCC,0
8C,MCI,0
8C,MDE,0
8C,MHT,0
8C,MIA,0
8C,MSP,0
8C,MSY,0
8C,NRT,0
8C,OGG,0
8C,ONT,0
8C,ORD,0
8C,PDX,0
8C,PHX,0
8C,PIT,0
8C,RFD,0
8C,RIC,0
8C,RIV,0
8C,RNO,0
8C,SBD,0
8C,SCK,0
8C,SDF,0
8C,SEA,0
8C,SFO,0
8C,SJU,0
8C,SMF,0
8C,STL,0
8C,SUU,0
8C,TOL,0
8C,TUL,0
8C,UAM,0
8C,UTP,0
8E,A06,8
8E,ABL,3608
8E,AIN,27
8E,AKP,22
8E,ANC,480
8E,ATK,0
8E,AUK,8
8E,BET,103
8E,BKC,4459
8E,BRW,82
8E,CDL,6
8E,CIL,0
8E,DCK,0
8E,DRG,3280
8E,ELI,3776
8E,EMK,33
8E,FAI,21
8E,FBK,14
8E,GAL,163
8E,GAM,4319
8E,GLV,3370
8E,GMT,0
8E,HPB,9
8E,HSL,19
8E,IAN,4171
8E,KGX,2
8E,KKA,3576
8E,KOT,11
8E,KPC,2
8E,KSM,20
8E,KTS,3114
8E,KVL,4320
8E,LSR,19
8E,LUR,107
8E,MLL,14
8E,MOU,4
8E,NUI,15
8E,OBU,2562
8E,OHC,13
8E,OME,26426
8E,ORV,5199
8E,OTZ,26604
8E,PHO,4186
8E,PIZ,64
8E,PQS,4
8E,RDB,2603
8E,SCM,18
8E,SHG,3087
8E,SHH,3528
8E,SKK,3516
8E,SMK,3676
8E,SVA,4463
8E,SXP,3
8E,TLA,2883
8E,TNC,309
8E,UNK,5394
8E,WAA,1391
8E,WBB,3556
8E,WLK,4604
8E,WMO,3425
8E,WTK,4755
8E,ZXF,1
8R,DEN,12029
8R,LAS,16767
8R,TPA,30416
8R,ZRH,63079
8V,A01,4
8V,A18,0
8V,A26,15
8V,A73,0
8V,AA8,2
8V,ABL,251
8V,AET,2451
8V,AIN,4442
8V,AKP,2878
8V,ANC,6
8V,ANI,7
8V,ANV,213
8V,ARC,1519
8V,ATK,3785
8V,BRW,8526
8V,BTI,1361
8V,BTT,2950
8V,CDL,0
8V,CEM,0
8V,CHP,0
8V,CIK,990
8V,CXF,874
8V,DCK,7
8V,DJN,3
8V,EAA,20
8V,ENN,29
8V,FAI,24811
8V,FBK,23
8V,FLT,13
8V,FYU,4124
8V,GAL,8027
8V,GBH,0
8V,HCR,272
8V,HKB,33
8V,HOM,0
8V,HSL,3109
8V,HUS,1694
8V,IRC,12
8V,KAL,1592
8V,KBC,898
8V,KGX,285
8V,KKA,0
8V,KSM,2
8V,KYU,1537
8V,LMA,474
8V,LNI,2
8V,MCG,724
8V,MLL,8
8V,MLY,37
8V,MNT,49
8V,MOU,7
8V,NIB,492
8V,NUI,3385
8V,NUL,2909
8V,OBU,232
8V,ORT,20
8V,OTZ,7
8V,PHO,306
8V,PIZ,1671
8V,PPC,16
8V,RBY,2819
8V,RLU,2
8V,RMP,25
8V,RSH,9
8V,SCC,2351
8V,SHG,230
8V,SHX,207
8V,STG,0
8V,SVS,18
8V,TAL,2048
8V,TCT,85
8V,TKJ,11
8V,TLJ,1
8V,TOG,0
8V,UMT,68
8V,UNK,0
8V,VEE,2076
8V,VIK,15
8V,WBQ,130
8V,WCR,23
8V,WLK,0
8V,WTK,5
9E,ABE,65804
9E,ABY,1861
9E,AEX,44158
9E,AGS,105813
9E,ALB,61556
9E,ATL,1718713
9E,ATW,11892
9E,AUS,23938
9E,AVL,37689
9E,AZO,791
9E,BDL,20010
9E,BGM,17363
9E,BGR,73562
9E,BHM,62860
9E,BIS,871
9E,BMI,46052
9E,BNA,68385
9E,BOS,486
9E,BQK,7357
9E,BTR,33897
9E,BTV,102531
9E,BUF,120312
9E,BWI,28766
9E,CAE,76852
9E,CHA,100996
9E,CHO,105885
9E,CHS,124586
9E,CID,10492
9E,CLE,146137
9E,CLT,163868
9E,CMH,16738
9E,CRW,10573
9E,CSG,32818
9E,CVG,392727
9E,CWA,43164
9E,DAY,26574
9E,DCA,102788
9E,DFW,131
9E,DHN,27109
9E,DLH,11761
9E,DSM,157209
9E,DTW,922608
9E,ECP,1401
9E,ELH,13337
9E,EVV,40224
9E,EWR,95014
9E,EYW,9099
9E,FAR,15395
9E,FAY,21586
9E,FLL,1555
9E,FSD,23955
9E,FWA,14802
9E,GFK,4524
9E,GGT,13968
9E,GNV,7941
9E,GPT,3928
9E,GRB,4895
9E,GRR,56845
9E,GSO,86190
9E,GSP,83391
9E,GTR,45419
9E,HOU,71
9E,HPN,59386
9E,HSV,40014
9E,IAD,25109
9E,ICT,11251
9E,ILM,79759
9E,IND,144174
9E,ITH,40604
9E,JAN,17473
9E,JAX,60797
9E,JFK,1124319
9E,LAN,7766
9E,LEX,15187
9E,LFT,51443
9E,LGA,2031932
9E,LIT,16336
9E,MBS,5939
9E,MCI,70238
9E,MCO,74
9E,MDT,20487
9E,MEM,64106
9E,MGM,58787
9E,MHH,12665
9E,MIA,1571
9E,MKE,53788
9E,MLI,44317
9E,MLU,47538
9E,MOB,49839
9E,MQT,5695
9E,MSN,47970
9E,MSP,512478
9E,MSY,269
9E,MYR,31355
9E,NAS,0
9E,OAJ,33625
9E,OKC,257
9E,OMA,28440
9E,ORD,5002
9E,ORF,133633
9E,ORH,10787
9E,PBI,58
9E,PHL,10729
9E,PIT,109363
9E,PNS,16081
9E,PVD,41888
9E,PWM,55482
9E,RAP,12615
9E,RDU,386976
9E,RIC,121322
9E,ROA,55459
9E,ROC,169569
9E,RST,11995
9E,RSW,1179
9E,SAT,61
9E,SAV,116412
9E,SBN,792
9E,SDF,9918
9E,SGF,42061
9E,SHV,74775
9E,STL,78462
9E,SYR,126876
9E,TLH,38883
9E,TPA,572
9E,TRI,68144
9E,TUL,16836
9E,TVC,15429
9E,TYS,182668
9E,VLD,42839
9E,VPS,1357
9E,XNA,120843
9E,YHZ,16585
9E,YUL,172847
9E,YYZ,282404
9K,ACK,27716
9K,AUG,5184
9K,AXA,842
9K,BHB,10528
9K,BIL,17975
9K,BOS,77976
9K,CPX,6857
9K,EIS,9965
9K,EWB,1962
9K,GDV,2130
9K,GGW,2970
9K,HPN,4030
9K,HVR,3095
9K,HYA,10210
9K,JFK,2524
9K,LEB,10588
9K,MAZ,9207
9K,MBL,4859
9K,MVY,16326
9K,NEV,2241
9K,OLF,3183
9K,ORD,4665
9K,PVC,6818
9K,RKD,7197
9K,RUT,4458
9K,SDY,7331
9K,SJU,50647
9K,SKB,60
9K,SLK,4699
9K,STT,34397
9K,STX,17657
9K,VIJ,1350
9K,VQS,11673
9X,6CA,8
9X,APC,14
9X,ATL,1625
9X,BFD,3519
9X,BNA,707
9X,BRL,3934
9X,BUR,4
9X,C01,1
9X,CCR,7
9X,CDR,1313
9X,CLD,46
9X,CXL,4
9X,DEN,2217
9X,DFW,8349
9X,DUJ,5579
9X,ELD,2561
9X,EMT,2
9X,FAT,13
9X,FLG,10
9X,HHR,29
9X,HNL,77239
9X,HNM,2656
9X,HOT,3299
9X,HRO,4032
9X,HWD,2
9X,IAD,13916
9X,IPL,4171
9X,IPT,899
9X,ITO,7
9X,JBR,2236
9X,JHM,1696
9X,JRF,3
9X,KOA,4750
9X,LAF,3118
9X,LAS,9
9X,LAX,2138
9X,LGB,9
9X,LNS,5971
9X,LNY,25175
9X,LUP,4174
9X,MCC,6
9X,MEM,1537
9X,MFR,6
9X,MGW,7116
9X,MHR,34
9X,MKG,1730
9X,MKK,84039
9X,MKL,2401
9X,MMH,16
9X,MRY,29
9X,MUE,3903
9X,MYF,6
9X,OAK,5
9X,OGG,48137
9X,OR4,11
9X,ORD,9410
9X,OXR,6
9X,PAO,2
9X,PHX,2423
9X,PIT,9187
9X,PRB,4
9X,PSP,19
9X,PUB,1072
9X,RDM,2
9X,RNO,87
9X,SAN,5
9X,SBA,762
9X,SBP,7
9X,SCF,5
9X,SDX,2
9X,SFO,10
9X,SGU,9
9X,SJC,15
9X,SLC,15
9X,SMO,29
9X,SNA,29
9X,SOW,1581
9X,SQL,1719
9X,STL,5174
9X,STS,4
9X,SUN,8
9X,TEX,5
9X,TKF,1047
9X,TRM,11
9X,TUS,2
9X,TVL,5
9X,UDD,8
9X,UIN,4098
9X,UT1,4
9X,VGT,10
9X,VIS,4
9X,VNY,21
9X,VWD,8
9X,XXS,1
AA,ABI,282
AA,ABQ,386215
AA,ACT,1000
AA,ACY,521
AA,AGS,3038
AA,AKL,46123
AA,ALB,183915
AA,AMA,15768
AA,AMS,89073
AA,ANC,87487
AA,ANU,154355
AA,ATH,110361
AA,ATL,989678
AA,AUA,290042
AA,AUS,1953232
AA,AVL,43557
AA,AVP,95008
AA,AZA,174
AA,AZO,378
AA,BAQ,57345
AA,BCN,279759
AA,BDA,131743
AA,BDL,554754
AA,BED,169
AA,BFI,138
AA,BFL,93871
AA,BGI,173915
AA,BGR,65002
AA,BHM,38033
AA,BIL,356
AA,BJX,110022
AA,BMG,173
AA,BNA,1107272
AA,BNE,13092
AA,BOG,195251
AA,BOI,142997
AA,BON,17796
AA,BOS,2464924
AA,BTR,607
AA,BTV,71352
AA,BUF,315849
AA,BUR,159997
AA,BWI,537888
AA,BZE,165304
AA,BZN,135850
AA,CAE,78532
AA,CDG,316985
AA,CHO,181
AA,CHS,585300
AA,CID,145403
AA,CLE,625180
AA,CLO,96763
AA,CLT,19888475
AA,CMH,449631
AA,CMW,39977
AA,CNW,163
AA,COS,154809
AA,COU,168
AA,CPH,29211
AA,CPS,63
AA,CRP,819
AA,CTG,129560
AA,CUN,1425321
AA,CUR,133188
AA,CVG,422423
AA,CZM,80898
AA,DAB,35241
AA,DAY,1243
AA,DCA,3473997
